sentiment_score,sentiment_label
0.9913510801235405,正面
0.7765705555630557,正面
0.9959102868319082,正面
0.00014882890985490338,负面
0.5633093929086513,正面
0.9999994700137433,正面
0.9046252275083563,正面
0.9972611306720565,正面
0.8880592519750582,正面
0.9975346279766302,正面
0.9999999999975773,正面
0.989554146135723,正面
0.9973404809245049,正面
0.9895105193136884,正面
0.9995681102498716,正面
0.9999829859512425,正面
0.9999866447908823,正面
0.9999976765491908,正面
0.999998722950073,正面
0.9975254896359999,正面
0.9999999992990323,正面
0.9438876793206239,正面
0.9992123234883248,正面
0.9721152322085569,正面
0.9733430266510585,正面
0.997737702464755,正面
0.9995038990118643,正面
0.9999385719834156,正面
0.8816210991862967,正面
0.7987411599789066,正面
0.9995156478712596,正面
0.9555262540254426,正面
0.2602073066327829,负面
